storeid,Vote,,,,,,,,
1732,Yes,,,,,,,,
675,Yes,,,,,,,,
292,Yes,,,,,,,,
691,Yes,,,,,,,,
119,Yes,,,,,,,,
836,Yes,,,,,,,,
951,Yes,,,,,,,,
990,Yes,,,,,,,,
1109,Yes,,,,,,,,
1257,Yes,,,,,,,,
950,Yes,,,,,,,,
472,Yes,,,,,,,,
763,Yes,,,,,,,,
246,Yes,,,,,,,,
2342,Yes,,,,,,,,
342,Yes,,,,,,,,
554,Yes,,,,,,,,
610,Yes,,,,,,,,
754,Yes,,,,,,,,
879,Yes,,,,,,,,
943,Yes,,,,,,,,
1288,Yes,,,,,,,,
1490,Yes,,,,,,,,
1492,Yes,,,,,,,,
2038,Yes,,,,,,,,
2514,Yes,,,,,,,,
1381,Yes,,,,,,,,
1407,Yes,,,,,,,,
1858,Yes,,,,,,,,
2171,Yes,,,,,,,,
2265,Yes,,,,,,,,
2431,Yes,,,,,,,,
2592,Yes,,,,,,,,
2687,Yes,,,,,,,,
2334,Yes,,,,,,,,
415,Yes,,,,,,,,
2469,Yes,,,,,,,,
2532,Yes,,,,,,,,
2536,Yes,,,,,,,,
2672,Yes,,,,,,,,
4052,Yes,,,,,,,,
4063,Yes,,,,,,,,
4067,Yes,,,,,,,,
4075,Yes,,,,,,,,
4086,Yes,,,,,,,,
4107,Yes,,,,,,,,
4130,Yes,,,,,,,,
4168,Yes,,,,,,,,
4316,Yes,,,,,,,,
2401,Yes,,,,,,,,
60,Yes,,,,,,,,
81,Yes,,,,,,,,
164,Yes,,,,,,,,
228,Yes,,,,,,,,
456,Yes,,,,,,,,
1024,Yes,,,,,,,,
2230,Yes,,,,,,,,
2610,Yes,,,,,,,,
49,Yes,,,,,,,,
374,Yes,,,,,,,,
419,Yes,,,,,,,,
730,Yes,,,,,,,,
841,Yes,,,,,,,,
1312,Yes,,,,,,,,
1475,Yes,,,,,,,,
1830,Yes,,,,,,,,
2084,Yes,,,,,,,,
2453,Yes,,,,,,,,
2602,Yes,,,,,,,,
2663,Yes,,,,,,,,
4302,Yes,,,,,,,,
4394,Yes,,,,,,,,
2432,Yes,,,,,,,,
30,Yes,,,,,,,,
153,Yes,,,,,,,,
264,Yes,,,,,,,,
295,Yes,,,,,,,,
337,Yes,,,,,,,,
469,Yes,,,,,,,,
557,Yes,,,,,,,,
591,Yes,,,,,,,,
1370,Yes,,,,,,,,
1422,Yes,,,,,,,,
1707,Yes,,,,,,,,
1743,Yes,,,,,,,,
2698,Yes,,,,,,,,
