STATE,CITY,TIMEZONE,UTC-DIFFERENCE
AL,Koenton,CST,"UTC - 6"
AL,"Laceys Spring",CST,"UTC - 6"
AL,Lafayette,CST,"UTC - 6"
AL,"Lake View",CST,"UTC - 6"
AL,Lanett,EST,"UTC - 5"
AL,Langdale,CST,"UTC - 6"
AL,Langston,CST,"UTC - 6"
AL,Lapine,CST,"UTC - 6"
AL,Lavaca,CST,"UTC - 6"
AL,Lawley,CST,"UTC - 6"
AL,Lawrenceville,CST,"UTC - 6"
AL,Leeds,CST,"UTC - 6"
AL,Leesburg,CST,"UTC - 6"
AL,Leighton,CST,"UTC - 6"
AL,Lemoyne,CST,"UTC - 6"
AL,Lenox,CST,"UTC - 6"
AL,Leroy,CST,"UTC - 6"
AL,Lester,CST,"UTC - 6"
AL,Letohatchee,CST,"UTC - 6"
AL,"Level Plains",CST,"UTC - 6"
AL,Levelroad,CST,"UTC - 6"
AL,Lexington,CST,"UTC - 6"
AL,"Liberty Highlands",CST,"UTC - 6"
AL,Libertyville,CST,"UTC - 6"
AL,Lillian,CST,"UTC - 6"
AL,Lincoln,CST,"UTC - 6"
AL,Linden,CST,"UTC - 6"
AL,Lineville,CST,"UTC - 6"
AL,Lisman,CST,"UTC - 6"
AL,"Little Brooklyn",CST,"UTC - 6"
AL,"Little River",CST,"UTC - 6"
AL,Livingston,CST,"UTC - 6"
AL,Loachapoka,CST,"UTC - 6"
AL,Lockhart,CST,"UTC - 6"
AL,"Locust Fork",CST,"UTC - 6"
AL,Logan,CST,"UTC - 6"
AL,Louisville,CST,"UTC - 6"
AL,"Lower Peach Tree",CST,"UTC - 6"
AL,Lowndesboro,CST,"UTC - 6"
AL,Loxley,CST,"UTC - 6"
AL,Luverne,CST,"UTC - 6"
AL,Lynn,CST,"UTC - 6"
AL,Macedonia,CST,"UTC - 6"
AL,Madison,CST,"UTC - 6"
AL,Madrid,CST,"UTC - 6"
AL,Magazine,CST,"UTC - 6"
AL,Magnolia,CST,"UTC - 6"
AL,"Magnolia Springs",CST,"UTC - 6"
AL,Malcolm,CST,"UTC - 6"
AL,Malone,CST,"UTC - 6"
AL,Malvern,CST,"UTC - 6"
AL,Maplesville,CST,"UTC - 6"
AL,Marbury,CST,"UTC - 6"
AL,Margaret,CST,"UTC - 6"
AL,Marion,CST,"UTC - 6"
AL,"Marion Junction",CST,"UTC - 6"
AL,Marvel,CST,"UTC - 6"
AL,Mathews,CST,"UTC - 6"
AL,Maylene,CST,"UTC - 6"
AL,Maytown,CST,"UTC - 6"
AL,"Mc Calla",CST,"UTC - 6"
AL,"Mc Intosh",CST,"UTC - 6"
AL,"Mc Kenzie",CST,"UTC - 6"
AL,"Mc Shan",CST,"UTC - 6"
AL,"Mc Williams",CST,"UTC - 6"
AL,McCullough,CST,"UTC - 6"
AL,McKenzie,CST,"UTC - 6"
AL,McMullen,CST,"UTC - 6"
AL,Megargel,CST,"UTC - 6"
AL,"Mellow Valley",CST,"UTC - 6"
AL,Melvin,CST,"UTC - 6"
AL,Mentone,CST,"UTC - 6"
AL,Meridianville,CST,"UTC - 6"
AL,Mexia,CST,"UTC - 6"
AL,Midfield,CST,"UTC - 6"
AL,"Midland City",CST,"UTC - 6"
AL,Midway,CST,"UTC - 6"
AL,Miflin,CST,"UTC - 6"
AL,Millbrook,CST,"UTC - 6"
AL,"Millers Ferry",CST,"UTC - 6"
AL,Millerville,CST,"UTC - 6"
AL,Millport,CST,"UTC - 6"
AL,Millry,CST,"UTC - 6"
AL,Minter,CST,"UTC - 6"
AL,Mobile,CST,"UTC - 6"
AL,"Mon Louis",CST,"UTC - 6"
AL,Monroeville,CST,"UTC - 6"
AL,Montevallo,CST,"UTC - 6"
AL,Montgomery,CST,"UTC - 6"
AL,Montrose,CST,"UTC - 6"
AL,Moody,CST,"UTC - 6"
AL,Mooresville,CST,"UTC - 6"
AL,Morris,CST,"UTC - 6"
AL,Morvin,CST,"UTC - 6"
AL,Motley,CST,"UTC - 6"
AL,Moulton,CST,"UTC - 6"
AL,Moundville,CST,"UTC - 6"
AL,"Mount Hebron",CST,"UTC - 6"
AL,"Mount Hope",CST,"UTC - 6"
AL,"Mount Meigs",CST,"UTC - 6"
AL,"Mount Olive",CST,"UTC - 6"
AL,"Mount Vernon",CST,"UTC - 6"
AL,"Mountain Brook",CST,"UTC - 6"
AL,"Mountain Creek",CST,"UTC - 6"
AL,Mulga,CST,"UTC - 6"
AL,Munford,CST,"UTC - 6"
AL,Muscadine,CST,"UTC - 6"
AL,"Muscle Shoals",CST,"UTC - 6"
AL,Myrtlewood,CST,"UTC - 6"
AL,Nanafalia,CST,"UTC - 6"
AL,"Natural Bridge",CST,"UTC - 6"
AL,Nauvoo,CST,"UTC - 6"
AL,Needham,CST,"UTC - 6"
AL,"New Brockton",CST,"UTC - 6"
AL,"New Castle",CST,"UTC - 6"
AL,"New Hope",CST,"UTC - 6"
AL,"New Market",CST,"UTC - 6"
AL,Newbern,CST,"UTC - 6"
AL,Newell,CST,"UTC - 6"
AL,Newton,CST,"UTC - 6"
AL,Newville,CST,"UTC - 6"
AL,Nixburg,CST,"UTC - 6"
AL,Normal,CST,"UTC - 6"
AL,"North Florence",CST,"UTC - 6"
AL,"North Johns",CST,"UTC - 6"
AL,"North Port",CST,"UTC - 6"
AL,Notasulga,CST,"UTC - 6"
AL,"Oak Grove",CST,"UTC - 6"
AL,"Oak Hill",CST,"UTC - 6"
AL,Oakman,CST,"UTC - 6"
AL,Odenville,CST,"UTC - 6"
AL,Ofelia,CST,"UTC - 6"
AL,Ohatchee,CST,"UTC - 6"
AL,Oneonta,CST,"UTC - 6"
AL,Opelika,CST,"UTC - 6"
AL,Opp,CST,"UTC - 6"
AL,"Orange Beach",CST,"UTC - 6"
AL,Orrville,CST,"UTC - 6"
AL,Overton,CST,"UTC - 6"
AL,"Owens Cross Roads",CST,"UTC - 6"
AL,Oxford,CST,"UTC - 6"
AL,"Oyster Bay",CST,"UTC - 6"
AL,Ozark,CST,"UTC - 6"
AL,"Paint Rock",CST,"UTC - 6"
AL,Palmerdale,CST,"UTC - 6"
AL,Panola,CST,"UTC - 6"
AL,Pansey,CST,"UTC - 6"
AL,Parrish,CST,"UTC - 6"
AL,Patsburg,CST,"UTC - 6"
AL,Pelham,CST,"UTC - 6"
AL,"Pell City",CST,"UTC - 6"
AL,Pennington,CST,"UTC - 6"
AL,Perdido,CST,"UTC - 6"
AL,"Perdido Beach",CST,"UTC - 6"
AL,"Perdue Hill",CST,"UTC - 6"
AL,Perote,CST,"UTC - 6"
AL,Peterman,CST,"UTC - 6"
AL,Peterson,CST,"UTC - 6"
AL,Petrey,CST,"UTC - 6"
