STATE,CITY,STANDARD_TZ,DAYLIGHT_TZ,UTC_STANDARD,UTC_DAYLIGHT,START_DAYLIGHT,END_DAYLIGHT
AL,Camden,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Camp Hill",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Campbell,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Campbells Crossroads",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Canoe,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Capshaw,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Carbon Hill",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cardiff,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Carlton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Carr Mill",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Carrollton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Carson,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Castleberry,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Catherine,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cecil,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Cedar Bluff",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Center Point",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Centerpoint,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Central,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Centre,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Centreville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chance,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chancellor,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chapman,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chastang,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chatom,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chelsea,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cherokee,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Chestnut Grove",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chickasaw,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Childersburg,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chisolm,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Choccolocco,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Christiana,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chrysler,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chulafinnee,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Chunchula,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Citronelle,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Claiborne,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Clanton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Clay,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Clayhatchee,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Clayton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cleveland,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Clinton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Clio,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Clopton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cloverdale,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Coal City",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Coal Fire",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
